"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","27.73","22.80","30.82","20.52","98.39M","21.66%"
"01/08/2024","22.80","25.72","27.98","17.35","124.76M","-11.35%"
"01/07/2024","25.71","29.38","32.96","22.01","295.29M","-12.47%"
"01/06/2024","29.38","36.02","37.18","23.60","121.66M","-19.12%"
"01/05/2024","36.32","32.70","41.74","30.65","117.67M","11.10%"
"01/04/2024","32.69","54.06","54.06","29.38","125.86M","-39.53%"
"01/03/2024","54.07","40.91","65.30","35.11","258.99M","32.17%"
"01/02/2024","40.91","33.19","44.58","32.34","116.75M","23.34%"
"01/01/2024","33.17","38.54","43.42","27.27","118.75M","-13.95%"
"01/12/2023","38.54","21.34","49.86","21.08","221.48M","80.70%"
"01/11/2023","21.33","11.32","24.61","10.90","226.02M","88.42%"
"01/10/2023","11.32","9.24","11.75","8.68","118.56M","22.44%"
