"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","567.51","532.90","617.86","472.09","7.66M","6.49%"
"01/08/2024","532.90","576.40","597.22","404.53","10.93M","-7.55%"
"01/07/2024","576.40","582.40","605.48","456.33","8.29M","-1.01%"
"01/06/2024","582.30","593.80","720.75","552.21","10.02M","-1.94%"
"01/05/2024","593.80","578.41","629.98","537.50","10.58M","2.66%"
"01/04/2024","578.41","606.69","627.68","510.84","19.61M","-4.69%"
"01/03/2024","606.89","399.10","641.80","362.15","42.88M","52.06%"
"01/02/2024","399.10","300.50","426.79","296.61","22.09M","32.81%"
"01/01/2024","300.50","312.00","333.69","287.60","26.58M","-3.69%"
"01/12/2023","312.00","227.60","337.89","226.00","32.06M","37.08%"
"01/11/2023","227.60","226.30","271.14","222.60","26.47M","0.57%"
"01/10/2023","226.30","214.50","237.49","202.99","13.76M","5.50%"
