"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","337.75","322.34","364.43","286.83","1.52M","4.78%"
"01/08/2024","322.34","414.09","423.49","275.92","2.70M","-22.16%"
"01/07/2024","414.09","394.05","458.26","289.11","2.59M","5.09%"
"01/06/2024","394.05","464.62","520.16","344.71","2.00M","-13.87%"
"01/05/2024","457.51","434.11","528.68","400.06","2.56M","5.47%"
"01/04/2024","433.78","679.17","715.81","421.04","7.57M","-36.13%"
"01/03/2024","679.17","297.81","691.99","297.00","10.39M","128.06%"
"01/02/2024","297.81","234.30","323.22","230.51","4.20M","27.11%"
"01/01/2024","234.30","259.59","297.38","214.52","3.59M","-9.74%"
"01/12/2023","259.59","221.40","287.27","217.70","4.13M","17.20%"
"01/11/2023","221.50","244.90","257.50","212.80","2.28M","-9.55%"
"01/10/2023","244.90","233.90","269.90","208.50","3.29M","4.70%"
