"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","0.3734","0.3451","0.4153","0.3036","4.18B","8.20%"
"01/08/2024","0.3451","0.3882","0.4012","0.2771","5.93B","-11.10%"
"01/07/2024","0.3883","0.3925","0.4561","0.3192","5.81B","-1.07%"
"01/06/2024","0.3924","0.4470","0.4899","0.3613","5.17B","-12.21%"
"01/05/2024","0.4470","0.4411","0.5100","0.4188","5.26B","1.32%"
"01/04/2024","0.4412","0.6501","0.6513","0.4006","7.18B","-32.14%"
"01/03/2024","0.6501","0.6540","0.8097","0.5699","9.40B","-0.59%"
"01/02/2024","0.6540","0.4979","0.7083","0.4741","6.66B","31.35%"
"01/01/2024","0.4979","0.5943","0.6368","0.4479","6.18B","-16.23%"
"01/12/2023","0.5943","0.3757","0.6789","0.3736","8.92B","58.19%"
"01/11/2023","0.3757","0.2930","0.4093","0.2844","6.04B","28.22%"
"01/10/2023","0.2930","0.2540","0.3046","0.2399","3.69B","15.39%"
