"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","11.86","11.02","12.97","9.30","92.97M","7.64%"
"01/08/2024","11.02","12.83","13.09","8.14","124.09M","-14.17%"
"01/07/2024","12.83","14.28","15.01","11.15","127.23M","-10.12%"
"01/06/2024","14.28","18.41","18.67","12.79","112.20M","-22.46%"
"01/05/2024","18.42","13.13","19.21","12.43","164.57M","40.23%"
"01/04/2024","13.13","19.17","19.28","11.95","179.84M","-31.48%"
"01/03/2024","19.17","19.27","22.72","16.28","238.48M","-0.52%"
"01/02/2024","19.27","15.44","20.83","15.16","259.50M","24.82%"
"01/01/2024","15.44","14.94","16.55","12.41","212.09M","3.29%"
"01/12/2023","14.94","14.41","17.62","13.65","231.92M","3.76%"
"01/11/2023","14.40","11.36","16.57","10.58","270.88M","26.81%"
"01/10/2023","11.36","8.19","11.98","7.12","242.44M","38.72%"
