"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","0.9997","0.9993","1.0094","0.9952","16.13M","0.04%"
"01/08/2024","0.9993","0.9998","1.0061","0.9969","18.27M","-0.05%"
"01/07/2024","0.9998","0.9997","1.0081","0.9949","14.28M","0.01%"
"01/06/2024","0.9997","0.9996","1.0010","0.9974","15.88M","0.01%"
"01/05/2024","0.9996","0.9998","1.0013","0.9959","28.39M","-0.02%"
"01/04/2024","0.9998","0.9995","1.0009","0.9985","27.44M","0.03%"
"01/03/2024","0.9995","0.9998","1.0077","0.9990","49.97M","-0.03%"
"01/02/2024","0.9998","0.9961","1.0054","0.9906","28.55M","0.37%"
"01/01/2024","0.9961","1.0000","1.0097","0.9889","37.37M","-0.38%"
"01/12/2023","0.9999","0.9995","1.0098","0.9983","29.22M","0.04%"
"01/11/2023","0.9995","0.9999","1.0045","0.9971","27.88M","-0.04%"
"01/10/2023","0.9999","0.9998","1.0014","0.9991","26.71M","0.01%"
