"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/10/2024","0.139191","0.114316","0.149690","0.101238","48.64B","21.74%"
"01/09/2024","0.114332","0.101282","0.131880","0.089110","41.68B","12.89%"
"01/08/2024","0.101281","0.121921","0.123089","0.080549","57.25B","-16.93%"
"01/07/2024","0.121920","0.124428","0.143452","0.092635","57.70B","-2.02%"
"01/06/2024","0.124432","0.158970","0.165473","0.114298","38.18B","-21.74%"
"01/05/2024","0.158988","0.133360","0.174701","0.120207","76.69B","19.29%"
"01/04/2024","0.133274","0.220113","0.220113","0.129598","104.87B","-39.45%"
"01/03/2024","0.220106","0.117209","0.228015","0.117203","197.09B","87.78%"
"01/02/2024","0.117212","0.078756","0.134850","0.077376","61.53B","48.83%"
"01/01/2024","0.078755","0.089543","0.094339","0.074175","51.87B","-12.05%"
"01/12/2023","0.089544","0.083396","0.106783","0.082274","72.32B","7.38%"
"01/11/2023","0.083390","0.068279","0.087445","0.065872","85.64B","22.13%"
"01/10/2023","0.068279","0.062072","0.075095","0.057400","32.40B","10.00%"
"01/09/2023","0.062072","0.063756","0.064772","0.059406","23.08B","-2.64%"
"01/08/2023","0.063756","0.077830","0.078277","0.056911","36.90B","-18.08%"
"01/07/2023","0.077831","0.066492","0.083700","0.063728","53.88B","16.98%"
"01/06/2023","0.066535","0.071659","0.073299","0.055888","29.03B","-7.15%"
"01/05/2023","0.071661","0.079462","0.081456","0.068890","23.27B","-9.82%"
"01/04/2023","0.079462","0.076982","0.104060","0.075300","78.97B","3.22%"
"01/03/2023","0.076984","0.080809","0.082821","0.062686","41.93B","-4.71%"
"01/02/2023","0.080792","0.096109","0.099721","0.078583","42.96B","-15.93%"
"01/01/2023","0.096096","0.070169","0.097679","0.069075","55.04B","37.00%"
"01/12/2022","0.070144","0.106775","0.111584","0.066392","52.55B","-34.31%"
"01/11/2022","0.106775","0.126834","0.158237","0.070767","118.84B","-15.83%"
