"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","2,603.48","2,513.06","2,726.69","2,151.80","8.99M","3.58%"
"01/08/2024","2,513.56","3,231.81","3,242.07","2,166.31","13.99M","-22.22%"
"01/07/2024","3,231.84","3,437.84","3,559.66","2,822.44","9.44M","-5.99%"
"01/06/2024","3,437.84","3,762.63","3,885.15","3,245.76","8.25M","-8.63%"
"01/05/2024","3,762.66","3,014.38","3,976.00","2,819.19","12.26M","24.82%"
"01/04/2024","3,014.41","3,647.08","3,727.87","2,863.89","13.48M","-17.35%"
"01/03/2024","3,647.09","3,339.25","4,091.28","3,063.60","18.54M","9.22%"
"01/02/2024","3,339.26","2,283.14","3,520.80","2,240.79","13.12M","46.26%"
"01/01/2024","2,283.14","2,281.89","2,712.88","2,122.78","13.90M","0.05%"
"01/12/2023","2,281.90","2,051.59","2,443.59","2,045.39","12.55M","11.23%"
"01/11/2023","2,051.56","1,815.12","2,135.91","1,779.79","12.42M","13.03%"
"01/10/2023","1,815.13","1,670.92","1,864.81","1,523.78","8.89M","8.63%"
