"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","4.436","4.257","4.961","3.830","384.99M","4.22%"
"01/08/2024","4.257","5.388","5.417","3.654","440.93M","-21.00%"
"01/07/2024","5.388","6.212","6.603","4.953","668.17M","-13.26%"
"01/06/2024","6.212","6.989","7.290","5.460","373.42M","-11.11%"
"01/05/2024","6.989","6.426","7.768","6.143","436.69M","8.76%"
"01/04/2024","6.426","9.641","9.726","5.766","547.73M","-33.35%"
"01/03/2024","9.641","8.259","11.837","8.259","1.01B","16.73%"
"01/02/2024","8.259","6.654","8.885","6.561","627.37M","24.12%"
"01/01/2024","6.654","8.204","8.803","5.985","434.90M","-18.89%"
"01/12/2023","8.204","5.469","9.582","5.370","648.69M","50.01%"
"01/11/2023","5.469","4.449","5.882","4.322","482.83M","22.87%"
"01/10/2023","4.451","4.103","4.598","3.581","334.37M","8.48%"
