"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/10/2024","0.00001775","0.00001759","0.00001950","0.00001552","146,799.01B","0.85%"
"01/09/2024","0.00001760","0.00001384","0.00002158","0.00001233","147,222.91B","27.17%"
"01/08/2024","0.00001384","0.00001592","0.00001609","0.00001084","162,816.05B","-13.07%"
"01/07/2024","0.00001592","0.00001725","0.00002011","0.00001280","178,908.74B","-7.71%"
"01/06/2024","0.00001725","0.00002543","0.00002631","0.00001637","142,567.90B","-32.17%"
"01/05/2024","0.00002543","0.00002235","0.00002936","0.00002064","264,681.50B","13.78%"
"01/04/2024","0.00002235","0.00003076","0.00003076","0.00001835","267,302.78B","-27.34%"
"01/03/2024","0.00003076","0.00001256","0.00004555","0.00001246","811,582.39B","144.90%"
"01/02/2024","0.00001256","0.00000894","0.00001465","0.00000879","161,552.56B","40.49%"
"01/01/2024","0.00000894","0.00001036","0.00001091","0.00000845","107,203.17B","-13.71%"
"01/12/2023","0.00001036","0.00000830","0.00001191","0.00000825","204,845.58B","24.82%"
"01/11/2023","0.00000830","0.00000778","0.00000960","0.00000758","134,426.13B","6.55%"
"01/10/2023","0.00000779","0.00000733","0.00000824","0.00000663","84,301.48B","6.28%"
"01/09/2023","0.00000733","0.00000799","0.00000805","0.00000697","51,473.78B","-8.26%"
"01/08/2023","0.00000799","0.00000846","0.00001129","0.00000728","194,490.35B","-5.56%"
"01/07/2023","0.00000846","0.00000756","0.00000878","0.00000709","104,494.18B","11.90%"
"01/06/2023","0.00000756","0.00000858","0.00000876","0.00000551","90,112.74B","-11.89%"
"01/05/2023","0.00000858","0.00001008","0.00001019","0.00000831","60,644.99B","-14.97%"
"01/04/2023","0.00001009","0.00001084","0.00001187","0.00000980","95,444.75B","-6.92%"
"01/03/2023","0.00001084","0.00001202","0.00001243","0.00000968","144,002.07B","-9.82%"
"01/02/2023","0.00001202","0.00001181","0.00001573","0.00001131","197,876.47B","1.78%"
"01/01/2023","0.00001181","0.00000807","0.00001292","0.00000800","205,316.55B","46.34%"
"01/12/2022","0.00000807","0.00000935","0.00001011","0.00000784","77,372.22B","-13.69%"
"01/11/2022","0.00000935","0.00001244","0.00001353","0.00000823","178,437.96B","-24.84%"
