"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","152.630","135.342","161.705","120.927","123.01M","12.77%"
"01/08/2024","135.342","171.678","172.776","110.155","208.55M","-21.17%"
"01/07/2024","171.678","146.553","193.890","121.261","152.65M","17.14%"
"01/06/2024","146.560","165.580","175.565","123.337","121.30M","-11.49%"
"01/05/2024","165.580","126.737","188.752","119.180","169.95M","30.65%"
"01/04/2024","126.740","202.510","204.194","119.471","264.13M","-37.42%"
"01/03/2024","202.510","125.621","209.917","111.792","323.83M","61.25%"
"01/02/2024","125.588","97.040","134.492","93.143","179.85M","29.42%"
"01/01/2024","97.043","101.590","116.920","79.009","237.90M","-4.48%"
"01/12/2023","101.590","59.199","125.506","58.614","330.40M","71.61%"
"01/11/2023","59.199","38.401","68.076","37.926","347.45M","54.17%"
"01/10/2023","38.398","21.364","38.561","21.032","204.69M","79.73%"
