"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","1.7781","0.7960","1.8455","0.7422","3.21B","123.35%"
"01/08/2024","0.7961","0.7079","1.1139","0.4632","2.30B","12.59%"
"01/07/2024","0.7071","0.8198","0.9007","0.5831","839.50M","-13.77%"
"01/06/2024","0.8200","1.0255","1.1710","0.7583","906.03M","-19.87%"
"01/05/2024","1.0234","1.1427","1.1719","0.8865","1.26B","-10.53%"
"01/04/2024","1.1439","1.9120","2.0250","0.9031","1.44B","-40.24%"
"01/03/2024","1.9140","1.6797","2.1803","1.2295","2.64B","14.19%"
"01/02/2024","1.6761","1.5260","1.9700","1.3898","1.74B","10.33%"
"01/01/2024","1.5192","0.7753","1.6478","0.6825","3.31B","95.92%"
"01/12/2023","0.7754","0.5990","0.9194","0.5618","2.21B","29.88%"
"01/11/2023","0.5970","0.4427","0.6883","0.4253","2.11B","34.82%"
"01/10/2023","0.4428","0.4703","0.5092","0.3634","1.24B","-5.73%"
