"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","0.155985","0.157602","0.157796","0.146683","9.06B","-1.03%"
"01/08/2024","0.157602","0.128695","0.168396","0.117257","21.38B","22.45%"
"01/07/2024","0.128704","0.124705","0.141487","0.121175","10.42B","3.21%"
"01/06/2024","0.124705","0.112847","0.126228","0.111543","9.40B","11.07%"
"01/05/2024","0.112272","0.119579","0.127650","0.110374","10.91B","-6.09%"
"01/04/2024","0.119550","0.122959","0.123901","0.105039","15.48B","-2.77%"
"01/03/2024","0.122961","0.140494","0.141729","0.110447","17.21B","-12.48%"
"01/02/2024","0.140494","0.112264","0.144025","0.111792","13.78B","25.14%"
"01/01/2024","0.112266","0.107665","0.117608","0.101160","14.02B","4.27%"
"01/12/2023","0.107663","0.103483","0.108966","0.097928","11.03B","4.05%"
"01/11/2023","0.103473","0.097149","0.112647","0.095727","12.33B","6.51%"
"01/10/2023","0.097150","0.088600","0.097160","0.084761","9.12B","9.65%"
