"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","0.9999","1.0007","1.0010","0.9995","9.21B","-0.07%"
"01/08/2024","1.0007","0.9998","1.0012","0.9988","12.81B","0.09%"
"01/07/2024","0.9998","0.9985","1.0010","0.9983","10.24B","0.13%"
"01/06/2024","0.9985","0.9990","1.0002","0.9974","10.28B","-0.06%"
"01/05/2024","0.9990","0.9993","1.0009","0.9986","8.54B","-0.03%"
"01/04/2024","0.9993","1.0006","1.0026","0.9987","9.00B","-0.12%"
"01/03/2024","1.0006","1.0004","1.0023","0.9968","8.59B","0.02%"
"01/02/2024","1.0004","0.9994","1.0015","0.9978","5.58B","0.09%"
"01/01/2024","0.9994","1.0001","1.0064","0.9984","5.75B","-0.06%"
"01/12/2023","1.0001","1.0001","1.0019","0.9991","5.36B","-0.01%"
"01/11/2023","1.0001","1.0004","1.0017","0.9996","4.61B","-0.02%"
"01/10/2023","1.0004","1.0003","1.0014","0.9998","3.55B","0.01%"
