"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/10/2024","5.1430","5.7498","5.8465","4.9980","151.55M","-10.65%"
"01/09/2024","5.7560","5.4216","6.1304","4.4533","309.95M","6.12%"
"01/08/2024","5.4240","6.7536","7.2570","4.7674","652.84M","-19.67%"
"01/07/2024","6.7522","7.6652","8.1622","6.3892","336.32M","-11.91%"
"01/06/2024","7.6652","6.3346","8.2843","6.2662","408.98M","21.01%"
"01/05/2024","6.3346","5.1636","7.4756","4.6044","386.25M","22.68%"
"01/04/2024","5.1636","5.4214","7.6650","4.7251","467.63M","-4.73%"
"01/03/2024","5.4198","2.4822","5.6803","2.3071","492.97M","118.41%"
"01/02/2024","2.4815","2.0704","2.9379","2.0128","167.26M","19.90%"
"01/01/2024","2.0696","2.2496","2.4649","1.8973","369.17M","-8.00%"
"01/12/2023","2.2497","2.3857","2.3981","1.8334","336.79M","-5.70%"
"01/11/2023","2.3856","2.2229","2.7679","2.1226","340.48M","7.31%"
"01/10/2023","2.2231","2.1080","2.2701","1.9042","207.19M","5.45%"
"01/09/2023","2.1081","1.7496","2.5935","1.6073","334.34M","20.49%"
"01/08/2023","1.7496","1.1978","1.7697","1.1693","445.96M","46.08%"
"01/07/2023","1.1977","1.3620","1.5358","1.1553","334.47M","-12.06%"
"01/06/2023","1.3620","1.8360","1.8386","1.1200","93.53M","-25.81%"
"01/05/2023","1.8358","2.1367","2.1864","1.7699","113.18M","-14.12%"
"01/04/2023","2.1377","2.2553","2.3811","2.1203","249.40M","-5.22%"
"01/03/2023","2.2553","2.5084","2.5787","1.8721","244.22M","-10.07%"
"01/02/2023","2.5079","2.3083","2.5694","1.9972","185.34M","8.65%"
"01/01/2023","2.3083","2.1819","2.6474","2.0769","320.85M","5.83%"
