"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","5.9933","5.8776","5.9935","5.3333","4.78M","1.97%"
"01/08/2024","5.8776","5.6617","5.9201","5.6363","2.07M","3.81%"
"01/07/2024","5.6617","5.8706","5.9435","5.6591","3.09M","-3.56%"
"01/06/2024","5.8706","5.9619","6.0498","5.3504","2.86M","-1.53%"
"01/05/2024","5.9619","5.8827","6.0353","5.7062","1.55M","1.35%"
"01/04/2024","5.8827","6.0297","6.0987","5.5325","1.19M","-2.44%"
"01/03/2024","6.0297","4.7603","6.1939","4.6358","1.37M","26.67%"
"01/02/2024","4.7603","3.9881","4.7933","3.9262","2.29M","19.36%"
"01/01/2024","3.9881","3.9887","4.1063","3.7606","1.76M","-0.01%"
"01/12/2023","3.9887","3.9970","4.0020","3.6046","2.34M","-0.21%"
"01/11/2023","3.9970","3.9537","4.1678","3.8329","1.28M","1.10%"
"01/10/2023","3.9537","3.6764","4.3980","3.6155","1.33M","7.54%"
