"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","1.0002","1.0001","1.0010","0.9992","18.52B","0.01%"
"01/08/2024","1.0001","1.0003","1.0013","0.9989","25.91B","-0.02%"
"01/07/2024","1.0003","1.0015","1.0018","0.9990","25.79B","-0.12%"
"01/06/2024","1.0015","1.0009","1.0026","0.9998","21.32B","0.03%"
"01/05/2024","1.0012","1.0008","1.0017","0.9992","25.30B","0.04%"
"01/04/2024","1.0008","0.9999","1.0016","0.9978","24.94B","0.09%"
"01/03/2024","0.9999","0.9994","1.0016","0.9964","1.94B","0.06%"
"01/02/2024","0.9993","1.0006","1.0016","0.9983","936.89M","-0.13%"
"01/01/2024","1.0006","1.0002","1.0022","0.9905","960.40M","0.04%"
"01/12/2023","1.0002","0.9997","1.0016","0.9979","727.75M","0.05%"
"01/11/2023","0.9997","0.9997","1.0001","0.9307","724.06M","0.00%"
"01/10/2023","0.9997","0.9999","1.0149","0.9991","676.71M","-0.02%"
