"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/09/2024","0.6116","0.5662","0.6638","0.5029","12.96B","8.00%"
"01/08/2024","0.5663","0.6231","0.6418","0.4327","17.43B","-9.12%"
"01/07/2024","0.6231","0.4760","0.6581","0.3865","20.76B","30.90%"
"01/06/2024","0.4760","0.5175","0.5322","0.4599","13.30B","-8.02%"
"01/05/2024","0.5175","0.5006","0.5692","0.4795","15.14B","3.42%"
"01/04/2024","0.5004","0.6291","0.6418","0.4312","21.67B","-20.46%"
"01/03/2024","0.6291","0.5861","0.7435","0.5454","32.65B","7.35%"
"01/02/2024","0.5860","0.5033","0.6234","0.4904","16.30B","16.44%"
"01/01/2024","0.5033","0.6154","0.6394","0.4910","15.32B","-18.22%"
"01/12/2023","0.6154","0.6055","0.6994","0.5814","15.31B","1.65%"
"01/11/2023","0.6054","0.5996","0.7478","0.5737","16.62B","0.97%"
"01/10/2023","0.5996","0.5148","0.6156","0.4746","12.95B","16.46%"
